source;target;weight
q-creüsa;7;0.06543103911
q-dudum;7;-0.0577902493498
q-laurentia;7;-0.0573486488178
q-euandrum;7;0.0547507228939
q-latebra;7;-0.0536368885224
q-latebras;7;-0.0536368885224
q-dardaniis;7;-0.0519094362437
q-segnis;7;-0.0500430793935
q-pyra;7;0.0500194147089
q-turni;7;-0.0499710784638
q-quartus;7;-0.0485191535333
q-pilumnusque;7;-0.0485191535333
q-lucagus;8;-0.119133126256
q-coroebus;8;0.0885805994582
q-danaum;8;0.0821027803344
q-rhipeus;8;0.0763554654991
q-laurentia;8;-0.0725196552587
q-androgeos;8;0.0699699344787
q-latebra;8;-0.0685096977332
q-latebras;8;-0.0685096977332
q-dardaniis;8;-0.0680373757956
q-panthus;8;0.0669361105648
q-pilumnusque;8;-0.0658686832288
q-quartus;8;-0.0658686832288
q-ubique;8;0.0625176219689
q-iuno;8;-0.0600074481576
q-olympi;8;-0.056899128356
q-frater;8;-0.0551947325096
q-mimanta;8;-0.0547948815519
q-latagum;8;-0.0547948815519
q-teucrisque;8;-0.0539146266652
q-osinius;8;-0.0538784963491
q-turnus;9;0.0881679932175
q-intus;9;0.0718090782663
q-murmur;9;0.0674592177076
q-troia;9;-0.0664876872589
q-murranum;9;0.0650816114665
q-drancis;9;0.0638472557997
q-italiam;9;-0.0622742483981
q-anchisae;9;-0.0622317953504
q-aedes;9;0.0619546182443
q-lauinia;9;0.0602321510226
q-ufens;9;0.0597541764981
q-turne;9;0.0595953377737
q-adgnoui;9;0.0588788621393
q-troiugenas;9;0.0588788621393
q-adrectasque;9;0.0588788621393
q-latinus;9;0.0584935872137
q-metisci;9;0.0562641551953
q-italis;9;0.0531244861343
q-neoptolemum;9;0.050876052265
q-saucius;9;0.0504299658331
q-danai;10;-0.0922600048841
q-danaum;10;-0.0849472143389
q-danais;10;0.075753930809
q-usque;10;0.0755835073098
q-integer;10;0.0742971834473
q-uoluissent;10;0.0742971834473
q-exscidia;10;0.0742971834473
q-pridem;10;0.0742971834473
q-creüsam;10;0.0742971834473
q-urguenti;10;0.0742971834473
q-coroebus;10;-0.0716952155918
q-abnego;10;0.0698176401171
q-abnegat;10;0.0698176401171
q-soror;10;0.0657047008956
q-hodie;10;0.0640229909894
q-apex;10;0.0630788149211
q-troia;10;0.0629736686512
q-nusquam;10;0.062358860854
q-rhipeus;10;-0.0609138932929
q-idaea;10;0.0608333436896
q-coroebus;11;0.0870498795579
q-troia;11;0.084587433059
q-soror;11;-0.0808258652982
q-rhipeus;11;0.0750916941304
q-danaum;11;0.0750855156083
q-italiam;11;-0.0710853508138
q-rursus;11;0.0697757863233
q-androgeos;11;0.069610331526
q-anchisae;11;-0.0670796525254
q-panthus;11;0.0651576029355
q-ubique;11;0.0592681082604
q-neoptolemum;11;-0.0562652178035
q-ilium;11;0.055779303291
q-num;11;-0.0551353889751
q-troianam;11;-0.0547283909669
q-relinquat;11;-0.0522235091419
q-exscidia;11;0.0521739526868
q-pridem;11;0.0521739526868
q-creüsam;11;0.0521739526868
q-integer;11;0.0521739526868
q-pallanta;12;0.123748243055
q-pallas;12;0.10606131425
q-halaesus;12;0.0980433901111
q-rutulorum;12;0.0962551639147
q-palla;12;0.0775805382131
q-turni;12;0.0705225084033
q-cruento;12;0.0650421642192
q-anchisae;12;-0.0617514131743
q-lausus;12;0.0593902840683
q-arcadibus;12;0.0589969667645
q-alcide;12;0.0589969667645
q-inreparabile;12;0.0566227573828
q-largior;12;0.0566227573828
q-troiae;12;0.0556885438014
q-coroebus;12;-0.0554168789096
q-abantem;12;0.0542799051918
q-halaesi;12;0.0542799051918
q-arcadio;12;0.0542799051918
q-imaona;12;0.0542799051918
q-proles;12;0.0540547331148
q-pallanta;13;-0.100230562776
q-num;13;-0.0778073179961
q-soror;13;-0.0745481413395
q-coroebus;13;-0.0690076171309
q-halaesus;13;-0.0681617112739
q-relinquat;13;-0.0612390192558
q-rutulorum;13;-0.0606713280853
q-pallas;13;-0.0594425815844
q-rhipeus;13;-0.0589494816884
q-troius;13;0.0588865414702
q-troianam;13;-0.0546334044969
q-palla;13;-0.0541400020891
q-androgeos;13;-0.0537376389592
q-nautes;13;0.0515514501216
q-stygia;13;0.0513825539287
q-ubique;13;-0.0494889795511
q-panthus;13;-0.0490850599631
q-turnus;13;-0.0480228152137
q-antrum;13;0.0479018471643
q-mortalia;13;-0.0458648482392
q-nautes;14;-0.147035587807
q-anchisae;14;-0.141664711618
q-dorycli;14;-0.0872823524519
q-ascanius;14;-0.0834676915365
q-beroen;14;-0.077799378649
q-eumelus;14;-0.077799378649
q-rhoeteïa;14;-0.077799378649
q-uolcanus;14;-0.0737845219658
q-italasne;14;-0.0735177939036
q-sicubi;14;-0.0735177939036
q-idcirco;14;-0.0735177939036
q-seruatae;14;-0.0735177939036
q-acestam;14;-0.0735177939036
q-stuppa;14;-0.0735177939036
q-semiusta;14;-0.0735177939036
q-elysiumque;14;-0.0735177939036
q-incepti;14;-0.0735177939036
q-acestes;14;-0.0730168142695
q-beroë;14;-0.0694350727646
q-amissis;14;-0.0685604962973
q-ulixes;15;-0.132251124635
q-ithacus;15;-0.130503265097
q-calchas;15;-0.0985914888407
q-fors;15;-0.0794488601186
q-argolica;15;-0.0735090814279
q-pelasgae;15;-0.0735090814279
q-calchante;15;-0.0735090814279
q-spes;15;-0.0702588350717
q-utinam;15;-0.0701284420191
q-machina;15;-0.0699741134027
q-seruataque;15;-0.0690493624266
q-eurypylum;15;-0.0690493624266
q-calchanta;15;-0.0690493624266
q-palladium;15;-0.0690493624266
q-ithaci;15;-0.0690493624266
q-graios;15;-0.0690493624266
q-graiorum;15;-0.0690493624266
q-scitor;15;-0.0688365983182
q-palladis;15;-0.0663009876949
q-achiuos;15;-0.0662558740933
q-antoren;16;0.128207386021
q-ter;16;-0.0802429873555
q-humo;16;-0.0791250555672
q-eminus;16;0.0767520872207
q-troïus;16;-0.0756895464939
q-pepigit;16;-0.0752828968864
q-eoo;16;-0.0752828968864
q-bellipotens;16;-0.0752828968864
q-mezenti;16;-0.0752828968864
q-consortem;16;-0.0752828968864
q-troesque;16;-0.0738496325641
q-latinique;16;-0.0738496325641
q-tyrrhenus;16;-0.0726385634928
q-inscius;16;-0.0724064420137
q-quadrupes;16;-0.0719404362774
q-oceanum;16;-0.0708718943164
q-diu;16;-0.0691359461589
q-thoraca;16;-0.0658120903602
q-femine;16;0.0643461583689
q-inguine;16;0.0643461583689
q-buten;17;-0.143911815524
q-orsilochum;17;-0.12155398205
q-equo;17;-0.0779557172991
q-amazones;17;-0.0719559077622
q-thermodontis;17;-0.0719559077622
q-threiciae;17;-0.0719559077622
q-martia;17;-0.0719559077622
q-tullaque;17;-0.0719559077622
q-hippotaden;17;-0.0719559077622
q-morientum;17;-0.0719559077622
q-tusci;17;-0.0719559077622
q-impatiens;17;-0.0719559077622
q-tyrrhene;17;-0.0719559077622
q-eunaeum;17;-0.0719559077622
q-lirim;17;-0.0719559077622
q-uulnera;17;-0.0719559077622
q-iollan;17;-0.0719559077622
q-hippolyten;17;-0.0719559077622
q-amazon;17;-0.0719559077622
q-italides;17;-0.0719559077622
q-lauinia;18;-0.116450424567
q-turno;18;-0.0836657815357
q-turne;18;-0.0818562799224
q-quaeso;18;-0.0676154096617
q-indum;18;-0.067253666142
q-rubor;18;-0.067253666142
q-haudquaquam;18;-0.067253666142
q-thybrina;18;-0.067253666142
q-pilumno;18;-0.067253666142
q-idmon;18;-0.067253666142
q-italia;18;-0.067253666142
q-monitura;18;-0.067253666142
q-orithyia;18;-0.067253666142
q-adcenso;18;-0.0666990875896
q-italas;18;-0.0646199134059
q-ebur;18;-0.0643361617342
q-phrygio;18;-0.0641129032111
q-generum;18;-0.0639243141527
q-rubeo;18;-0.0625292113431
q-arruns;18;0.0607369426371
q-temere;19;-0.115869911032
q-uolcentem;19;0.0926660886255
q-rutuli;19;0.0911046844508
q-euryalum;19;-0.0829264120158
q-cratera;19;-0.0777012480475
q-magistro;19;-0.0644825916241
q-equites;19;-0.0626001142481
q-rhamnetis;19;-0.0622519117988
q-imprudens;19;-0.0622519117988
q-tiburti;19;-0.0622519117988
q-tapetas;19;-0.0622519117988
q-herbesumque;19;-0.0613217310278
q-fadumque;19;-0.0613217310278
q-lamumque;19;-0.0613217310278
q-rhamnetem;19;-0.0613217310278
q-rhoetumque;19;-0.0613217310278
q-serranum;19;-0.0613217310278
q-rhoetum;19;-0.0613217310278
q-abarimque;19;-0.0613217310278
q-tercentum;19;-0.060041261596
q-heleno;20;-0.0713359130643
q-helenus;20;-0.0693485217543
q-temere;20;0.0646540225212
q-turno;20;0.0579327240138
q-iterum;20;-0.0568957654011
q-mezentius;20;-0.0553806420777
q-andromachen;20;-0.0553404620905
q-portus;20;-0.0543574872577
q-uolcentem;20;-0.0520215829827
q-achates;20;-0.0498079447444
q-euryalum;20;0.0463325435725
q-buten;20;0.0455369136032
q-amens;20;-0.0455216108786
q-propinquo;20;0.0448681713439
q-lauinia;20;0.0439633469107
q-signum;20;-0.0433394290082
q-sibyllae;20;-0.0427748375312
q-cratera;20;0.0425906748166
q-cubile;20;-0.0425167454606
q-hospes;20;-0.0418987083361
q-eumenidum;21;0.10636687136
q-heleno;21;-0.0912534990703
q-helenus;21;-0.0831821325461
q-imponit;21;0.0805482404122
q-charon;21;0.0758437511502
q-sibyllae;21;0.0736397283067
q-stygiamque;21;0.07154565155
q-andromachen;21;-0.0708507462546
q-anchisa;21;0.0678613406796
q-interpres;21;-0.0650619348185
q-aërio;21;0.0641376476914
q-oleum;21;0.0641376476914
q-scrupea;21;0.0641376476914
q-misenus;21;0.0641376476914
q-acherontis;21;0.0624325688249
q-harpyiaeque;21;0.0624325688249
q-gorgones;21;0.0624325688249
q-cocyto;21;0.0624325688249
q-cocyti;21;0.0624325688249
q-chimaera;21;0.0624325688249
q-mezentius;22;0.113987195688
q-lycus;22;0.0954436047329
q-heleno;22;-0.0883245275147
q-helenor;22;0.0880331440958
q-helenus;22;-0.0820081310351
q-andromachen;22;-0.0682383012902
q-phryges;22;0.0664909271581
q-turnus;22;0.065639991776
q-signum;22;0.0619170846895
q-turris;22;0.060127006941
q-achates;22;0.0586976696117
q-portus;22;-0.0560849030736
q-ortygium;22;0.0554182280764
q-palici;22;0.0554182280764
q-plumbo;22;0.0554182280764
q-placabilis;22;0.0554182280764
q-corynaeum;22;0.0554182280764
q-priuernum;22;0.0554182280764
q-ityn;22;0.0554182280764
q-symaethia;22;0.0554182280764
q-lycus;23;0.10471904982
q-achates;23;-0.097406372646
q-helenor;23;0.0961334128488
q-signum;23;-0.0916333503803
q-turnus;23;0.0819770576941
q-phryges;23;0.0763204192255
q-euandrus;23;-0.0663501391384
q-hospes;23;-0.0654435682139
q-matutinus;23;-0.065147053377
q-tyrrhena;23;-0.0645832498739
q-tyrrhenusque;23;-0.0634425626873
q-fulgor;23;-0.0615000855438
q-themillae;23;0.0610107840515
q-ityn;23;0.0610107840515
q-emathiona;23;0.0610107840515
q-cloniumque;23;0.0610107840515
q-lucetium;23;0.0610107840515
q-idan;23;0.0610107840515
q-hibera;23;0.0610107840515
q-corynaeum;23;0.0610107840515
q-parthus;24;0.0994468166809
q-dareta;24;0.0878930007111
q-entellus;24;0.0878930007111
q-iterum;24;-0.0834704291592
q-mnestheus;24;0.0761108551728
q-siue;24;0.0721738799654
q-acestes;24;0.0690846611872
q-ademptast;24;0.0667046818949
q-demittet;24;0.0667046818949
q-dehiscet;24;0.0667046818949
q-condicio;24;0.0667046818949
q-clausumue;24;0.0667046818949
q-tete;24;0.0667046818949
q-italiam;24;-0.063779699109
q-interpres;24;-0.0627800328832
q-num;24;-0.0603892680845
q-frater;24;0.0601570668684
q-immortalis;24;0.0588012342615
q-eurytion;24;0.0585953338074
q-hyrtacidae;24;0.0585953338074
q-heleno;25;-0.0928984439176
q-quotiens;25;0.0882986523926
q-num;25;0.0855700701894
q-lyciae;25;0.0752726941655
q-andromachen;25;-0.0730564322495
q-orestes;25;-0.072534465434
q-helenus;25;-0.0682689055296
q-karthaginis;25;0.0596911465707
q-ausonia;25;0.0556039509016
q-sponte;25;0.0549186793074
q-italiam;25;0.0544548025354
q-potestas;25;0.0541955175594
q-interpres;25;0.0538271920187
q-oceani;25;-0.053181539732
q-quaeso;25;-0.0503537439919
q-hector;25;-0.050119107149
q-aurora;25;0.0500411326442
q-germana;25;-0.0495108746245
q-aethiopum;25;-0.0487584478222
q-hesperidum;25;-0.0486494937583
